"OTU"	"ZA8"	"ZB12"	"ZC16"	"ZD1"	"ZC1"	"ZB14"	"LM25"	"LM12"	"LM18"	"LM24"	"LM4"	"LM13"	"ZA1"	"LM10"	"LM28"	"LM19"	"ZC14"	"ZC8"	"ZC7"	"ZC10"	"ZC13"	"ZB9"	"LM6"	"ZC20"	"ZB2"	"LM30"	"LM7"	"LM11"	"ZC2"	"ZB3"	"ZA5"	"ZB6"	"ZB10"	"ZC21"	"ZB8"	"ZA4"	"LM22"	"ZA6"	"ZB15"	"ZC9"	"ZC12"	"LM20"	"LM16"	"ZC19"	"ZC3"	"ZC11"	"ZB1"	"ZC15"	"LM23"	"ZC6"	"ZD2"
48	1	0	0	0	0	3	7	24	6	3	0	15	0	22	3	2	0	24	0	0	0	0	33	0	36	0	4	0	12	0	16	0	41	0	1	0	0	71	13	0	1	12	7	6	0	0	1	11	26	37	0
49	3	0	7	0	0	1	0	0	0	3	0	2	7	0	0	0	97	0	2	5	0	1	0	0	0	0	1	1	1	3	0	0	0	0	0	1	0	0	0	12	3	3	0	1	16	55	2	0	0	0	1
50	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	25	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	38	0	0	0	0	0	0	0	1	0
51	3	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
52	1	1	0	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	3	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1
53	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
54	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	4	1	0	1	5	2	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	1	0	2	0	3	0	0	0	7	0	0	0	1	0
55	2	0	0	1	0	0	0	1	1	0	0	0	3	0	0	0	0	1	12	0	1	0	0	0	0	0	1	0	6	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
56	1	0	0	9	1	0	0	0	0	2	8	0	3	0	0	0	0	1	3	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3	1	3	0	0	0	3	0	0	0	0	0	0
57	0	1	0	1	1	0	0	1	0	0	49	0	2	0	1	0	0	1	3	0	2	0	0	0	0	1	0	0	3	0	1	1	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	1	0	0	0
58	1	0	0	2	0	0	0	0	0	0	11	0	1	0	0	0	0	1	7	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0
59	1	3	0	5	4	1	0	0	0	0	0	0	1	0	0	0	0	0	35	0	0	0	0	0	0	178	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	108	0	1	0
60	1	9	1	4	1	2	1	0	1	0	2	0	2	0	0	0	3	4	38	1	2	0	0	0	0	0	1	0	3	0	3	0	0	0	0	1	1	0	1	2	0	3	0	1	1	0	2	148	0	1	0
61	0	2	0	0	0	2	0	12	41	0	5	3	0	0	0	0	8	5	0	0	1	0	1	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	8	0	6	0	0	9	2	0	1	0	0	0
